id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
0,art,1,0.0,-25.5,3.0,42.2871,-12.0653,3.6668,463.14
1,art,1,0.0,-25.5,3.0,45.3867,7.7591,4.072,431.13
2,art,1,0.0,-25.5,3.0,1.8754,-25.3418,0.5411,454.08
3,art,1,0.0,-25.5,3.0,0.2574,-25.8771,0.8811,442.43
4,art,2,42.2871,-12.0653,3.6668,22.0216,5.6317,19.0205,393.65
5,art,2,42.2871,-12.0653,3.6668,-8.5307,1.2162,21.6319,369.19
6,art,2,42.2871,-12.0653,3.6668,40.1486,-6.1106,7.1278,368.46
7,art,2,42.2871,-12.0653,3.6668,40.9278,-7.2255,3.2041,394.19
8,art,2,42.2871,-12.0653,3.6668,37.0991,-14.9174,6.1231,374.11
9,art,2,42.2871,-12.0653,3.6668,38.0184,-12.1995,5.0418,389.77
10,art,2,42.2871,-12.0653,3.6668,41.7135,-11.6138,0.6564,392.66
11,art,2,42.2871,-12.0653,3.6668,41.9103,-13.0635,1.7791,370.49
12,art,2,45.3867,7.7591,4.072,0.3149,6.1094,21.4023,322.72
13,art,2,45.3867,7.7591,4.072,34.5418,-9.3102,-13.315,327.01
14,art,2,45.3867,7.7591,4.072,43.6596,4.9428,3.5623,314.16
15,art,2,45.3867,7.7591,4.072,43.161,7.1557,3.6751,334.23
16,art,3,22.0216,5.6317,19.0205,2.8383,22.6329,11.252,331.52
17,art,3,22.0216,5.6317,19.0205,-10.5009,22.1075,-11.037,315.1
18,art,3,22.0216,5.6317,19.0205,16.3856,4.9845,18.4395,325.25
19,art,3,22.0216,5.6317,19.0205,18.8747,4.4297,16.8786,322.28
20,art,3,-8.5307,1.2162,21.6319,-6.8449,-11.7084,19.471,283.76
21,art,3,-8.5307,1.2162,21.6319,-7.5014,-24.7654,6.8157,275.82
22,art,3,0.3149,6.1094,21.4023,-16.3634,4.8071,20.3133,250.49
23,art,3,0.3149,6.1094,21.4023,-40.442,-0.7118,12.0716,257.23
24,art,3,34.5418,-9.3102,-13.315,30.616,13.1287,-13.0629,265.75
25,art,3,34.5418,-9.3102,-13.315,19.8433,23.6931,-3.5791,257.27
26,art,3,34.5418,-9.3102,-13.315,38.9219,-3.6472,-9.9731,250.5
27,art,3,34.5418,-9.3102,-13.315,35.7691,-6.4529,-8.7416,271.01
28,art,3,34.5418,-9.3102,-13.315,32.4911,-7.5433,-15.2547,264.87
29,art,3,34.5418,-9.3102,-13.315,33.2458,-7.4299,-13.7828,258.28
30,art,4,2.8383,22.6329,11.252,5.7124,17.9308,15.9369,281.65
31,art,4,2.8383,22.6329,11.252,14.7834,-10.4581,-18.3712,257.69
32,art,4,2.8383,22.6329,11.252,7.8354,23.26,8.8688,277.83
33,art,4,2.8383,22.6329,11.252,6.1667,20.5999,11.2458,262.99
34,art,4,2.8383,22.6329,11.252,-1.6634,23.4943,9.2749,271.52
35,art,4,2.8383,22.6329,11.252,0.0683,24.6059,10.45,270.2
36,art,4,-10.5009,22.1075,-11.037,-10.5779,18.8215,-14.6587,231.12
37,art,4,-10.5009,22.1075,-11.037,5.716,-4.992,14.0959,250.04
38,art,4,-10.5009,22.1075,-11.037,-3.8911,23.9779,-6.6352,241.15
39,art,4,-10.5009,22.1075,-11.037,-5.9064,19.7123,-8.6347,241.69
40,art,4,-6.8449,-11.7084,19.471,-11.6457,-3.4974,21.1538,239.62
41,art,4,-6.8449,-11.7084,19.471,-10.5841,-3.8937,-12.5725,215.65
42,art,4,-6.8449,-11.7084,19.471,-4.8148,-13.5293,14.3738,229.65
43,art,4,-6.8449,-11.7084,19.471,-7.8739,-13.7428,16.1278,228.45
44,art,4,-6.8449,-11.7084,19.471,-4.9064,-8.5783,17.5984,219.01
45,art,4,-6.8449,-11.7084,19.471,-6.2447,-8.9995,20.2846,237.43
46,art,4,-7.5014,-24.7654,6.8157,1.9553,-25.9144,4.1052,222.08
47,art,4,-7.5014,-24.7654,6.8157,-7.7393,4.2444,-2.7152,206.25
48,art,4,-7.5014,-24.7654,6.8157,-15.0415,-23.1232,5.4005,207.47
49,art,4,-7.5014,-24.7654,6.8157,-10.8107,-20.6627,5.2739,221.2
50,art,4,-7.5014,-24.7654,6.8157,-6.9457,-23.1051,9.4327,215.03
51,art,4,-7.5014,-24.7654,6.8157,-6.7471,-22.9451,7.8034,214.63
52,art,4,-16.3634,4.8071,20.3133,-11.5999,5.417,20.8763,196.06
53,art,4,-16.3634,4.8071,20.3133,-17.7607,-8.2328,-7.8037,194.62
54,art,4,-16.3634,4.8071,20.3133,-17.6011,3.1548,17.3082,197.88
55,art,4,-16.3634,4.8071,20.3133,-17.1662,2.5125,19.5365,192.66
56,art,4,-40.442,-0.7118,12.0716,-39.1061,7.6408,11.2911,209.67
