id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
22622,ven,84,20.7460,5.6870,-8.7819,20.9318,6.1461,-9.1207,23.40
22623,ven,84,-9.0495,16.0951,-7.8668,-9.0054,16.6869,-7.7783,40.01
22624,ven,84,-24.4598,8.0210,-10.6550,-24.9630,8.2808,-10.4567,23.40
22625,ven,84,-12.8512,14.6346,-9.4580,-13.1665,15.1148,-9.2849,72.71
22626,ven,84,-22.6334,9.5819,-9.3674,-22.9077,10.0578,-9.1260,95.98
22627,ven,84,18.3511,8.6715,-11.5932,18.7990,9.0641,-11.5213,55.02
22628,ven,83,13.0178,-17.7915,9.4478,13.0014,-17.5239,9.9846,23.40
22629,ven,84,-7.1276,-15.4473,6.8294,-6.6653,-15.3735,7.2046,53.57
22630,ven,83,-32.2180,-12.6306,-1.2659,-32.6850,-13.0066,-1.2449,23.40
22631,ven,84,0.2164,15.8230,-10.2276,0.0267,16.3912,-10.2626,23.40
22632,ven,83,9.6131,-15.9834,6.6084,9.1495,-15.6593,6.8084,23.40
22633,ven,84,19.1935,7.8493,-13.7284,19.6871,8.1862,-13.7820,23.40
22634,ven,84,25.4295,2.0733,-7.8410,25.9324,2.3912,-7.7628,23.40
22635,ven,83,12.4641,-14.7788,7.2357,12.6167,-14.2485,7.4712,95.04
22636,ven,84,-15.2130,-10.8226,10.8704,-15.1928,-10.3507,11.2405,53.57
22637,ven,83,10.6384,-15.1922,7.0068,10.2452,-14.9480,7.3885,23.40
22638,ven,83,17.5648,-14.4892,6.5040,17.5681,-13.9569,6.7808,188.89
22639,ven,84,9.6598,13.8129,-9.9798,9.9765,14.3225,-9.9774,60.17
22640,ven,84,-7.4778,16.0020,-10.1129,-7.5883,16.5917,-10.1175,44.76
22641,ven,84,-20.7736,-9.8833,8.2773,-21.1939,-9.4863,8.4376,33.75
22642,ven,84,-18.5457,-9.6170,9.1995,-18.6781,-9.1182,9.5056,80.69
22643,ven,84,27.2496,-2.0067,-3.0756,27.5047,-1.6689,-2.6504,29.48
22644,ven,84,23.7061,4.2161,-9.0030,23.7804,4.3485,-8.4225,23.40
22645,ven,84,-33.5979,-4.6936,-8.9426,-34.1695,-4.5130,-8.9167,23.40
22646,ven,84,25.9985,1.6011,-7.6865,26.4519,1.9803,-7.5833,23.40
22647,ven,83,16.2660,-14.9560,7.5538,16.2263,-14.4832,7.9211,23.40
22648,ven,84,-9.7726,15.8036,-7.6862,-9.9501,16.3734,-7.6250,23.40
22649,ven,84,26.0880,2.4506,-11.5514,26.4733,2.9050,-11.6225,42.52
22650,ven,84,21.2114,5.4656,-10.2174,21.3002,6.0590,-10.2202,29.48
22651,ven,84,12.8382,12.1430,-12.4475,12.9607,12.7301,-12.4320,33.75
22652,ven,84,26.0717,2.4894,-9.0886,26.4905,2.9060,-9.1942,23.40
22653,ven,83,0.4148,11.5098,-4.9296,0.6130,11.9049,-4.5238,23.40
22654,ven,83,11.3513,-16.0393,8.2712,10.9611,-16.0660,8.7262,23.40
22655,ven,84,-7.1664,-14.8359,6.3393,-6.7549,-14.4314,6.5037,23.40
22656,ven,84,22.2381,5.2543,-9.8410,22.3359,5.8395,-9.7514,33.75
22657,ven,84,31.8855,-7.4085,-10.8445,32.4252,-7.1524,-10.9013,70.20
22658,ven,84,15.1709,11.1806,-10.6201,15.5218,11.6355,-10.4471,68.42
22659,ven,84,29.2911,-16.5110,2.4789,29.5407,-16.3129,2.9872,23.40
22660,ven,84,-19.9857,11.1730,-10.0568,-20.2540,11.7088,-10.0258,40.01
22661,ven,84,-15.1964,-10.9807,11.0298,-15.1413,-10.5716,11.4653,23.40
22662,ven,83,11.2362,-14.6492,6.5736,11.1795,-14.1519,6.9045,90.58
22663,ven,84,27.4994,0.8147,-11.7500,27.9994,1.1436,-11.7073,23.40
22664,ven,84,-34.5855,-7.6855,-9.9336,-35.1588,-7.6758,-9.7567,46.80
22665,ven,84,32.3193,-16.7172,-4.0794,32.8340,-16.6820,-3.7729,23.40
22666,ven,84,-24.8779,7.0107,-8.9640,-25.3616,7.3483,-8.8545,23.40
22667,ven,84,-10.2387,-11.3103,7.7034,-10.1104,-10.7513,7.8794,74.29
22668,ven,83,17.1360,-16.8958,9.5050,17.3069,-16.5383,9.9554,23.40
22669,ven,84,32.3334,-17.9026,-4.0320,32.8588,-18.0149,-3.7649,23.40
22670,ven,84,-20.8178,-9.7403,5.6015,-21.0622,-9.5266,5.0970,64.56
22671,ven,84,23.6163,4.4906,-9.7754,23.7977,5.0624,-9.7857,23.40
