id,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um,longitud_mm
260,11.4484,21.3798,-3.0297,11.4484,21.3798,-3.0297,290.9,0.0
261,40.5853,6.4067,-10.402,40.5223,7.3472,-7.4046,280.18,3.142
262,40.5853,6.4067,-10.402,38.4332,11.8053,-13.1219,286.02,6.417
263,1.5319,-5.7098,-20.0083,2.3006,-3.9997,-21.8307,208.54,2.615
264,1.5319,-5.7098,-20.0083,13.1347,-4.2983,-1.5078,221.66,21.883
265,30.6852,20.2827,-7.1581,31.1129,21.8642,-8.3718,233.37,2.039
266,30.6852,20.2827,-7.1581,30.6852,20.2827,-7.1581,241.88,0.0
267,34.3256,-13.3447,-14.5501,33.6432,-15.8789,-14.6361,216.3,2.626
268,34.3256,-13.3447,-14.5501,34.3256,-13.3447,-14.5501,198.91,0.0
269,-3.4409,15.2242,-10.2263,-4.4457,15.7417,-13.815,282.15,3.763
270,-3.4409,15.2242,-10.2263,6.6634,6.9996,4.124,271.11,19.382
271,-3.4409,15.2242,-10.2263,-1.8908,16.3153,-9.4659,308.72,2.042
272,-14.9987,10.8362,15.6854,-17.3391,9.523,11.6092,256.07,4.88
273,-14.9987,10.8362,15.6854,1.0068,9.3605,4.6484,254.12,19.498
274,1.0068,9.3605,4.6484,0.6785,7.0908,2.4332,223.79,3.188
275,-45.9529,-0.0072,1.9593,-46.9626,-1.899,1.9617,223.24,2.144
276,-45.9529,-0.0072,1.9593,-41.4533,-2.256,16.3039,243.57,15.201
277,-1.8908,16.3153,-9.4659,0.5315,18.0205,-8.2777,278.29,3.192
278,-1.8908,16.3153,-9.4659,5.242,18.4283,-14.1958,275.43,8.816
279,4.0071,25.1435,-0.4261,5.4501,25.9055,1.0625,325.72,2.209
280,4.0071,25.1435,-0.4261,31.3379,19.7819,4.148,320.55,28.225
281,6.2438,-19.2328,-14.8382,9.9842,-18.9878,-15.8243,297.98,3.876
282,6.2438,-19.2328,-14.8382,5.3786,-7.9841,-4.7126,289.79,15.159
283,28.3397,-1.149,14.1442,27.5586,1.113,16.2003,289.76,3.155
284,28.3397,-1.149,14.1442,27.7574,-17.0437,-11.1381,311.17,29.869
285,-17.5991,-23.3594,5.2084,-21.7741,-25.5638,5.04,464.58,4.724
286,-17.5991,-23.3594,5.2084,-32.4783,-10.081,6.397,429.09,19.978
287,-22.4209,-7.1536,12.456,-19.1286,-9.6499,10.5619,349.17,4.545
288,-22.4209,-7.1536,12.456,-13.8879,-20.3661,17.2063,329.5,16.43
289,8.1626,-4.4336,22.0656,11.4776,-4.513,19.9055,268.16,3.957
290,8.1626,-4.4336,22.0656,8.1626,-4.4336,22.0656,249.75,0.0
291,3.2834,-9.7162,15.2938,3.653,-10.5141,14.4346,268.93,1.229
292,3.2834,-9.7162,15.2938,21.0599,-1.8569,10.5812,248.67,20.0
293,21.0599,-1.8569,10.5812,20.4399,2.9812,14.2376,207.77,6.096
294,-35.0515,5.9773,-8.7874,-35.3778,5.196,-5.479,135.08,3.415
295,-35.0515,5.9773,-8.7874,-29.7692,5.7566,-5.5075,133.82,6.222
296,5.8849,22.8062,-5.7205,4.6164,24.3689,-5.2393,272.12,2.069
297,5.8849,22.8062,-5.7205,5.8849,22.8062,-5.7205,288.97,0.0
298,8.2935,-21.1007,6.6382,7.0902,-22.2359,5.2903,371.12,2.134
299,8.2935,-21.1007,6.6382,34.7063,-14.1279,11.219,382.55,27.699
300,6.7555,8.7375,-19.7232,1.4405,5.1013,-20.8633,333.87,6.54
301,6.7555,8.7375,-19.7232,6.7555,8.7375,-19.7232,362.51,0.0
302,17.3713,-20.3621,-10.1835,14.2565,-17.5602,-7.0993,166.94,5.202
303,17.3713,-20.3621,-10.1835,17.1608,-12.8697,-16.7068,175.46,9.937
304,37.7515,-11.8785,7.8907,38.1867,-13.3616,7.3593,218.28,1.635
305,37.7515,-11.8785,7.8907,39.6984,-6.6434,12.3261,200.87,7.132
306,39.6984,-6.6434,12.3261,38.0551,-5.3373,11.9492,167.15,2.133
307,-22.9989,-2.1681,19.6043,-24.4657,-2.2557,22.0815,341.27,2.88
308,-22.9989,-2.1681,19.6043,-2.6317,-13.025,21.6359,338.66,23.169
309,20.4399,2.9812,14.2376,19.9098,7.1176,17.3637,188.06,5.212
310,20.4399,2.9812,14.2376,24.8562,11.3276,4.8333,184.55,13.327
311,20.4399,2.9812,14.2376,22.3347,3.6698,17.2211,207.77,3.601
312,-38.209,-0.2986,12.425,-37.7415,1.2278,12.4197,256.27,1.596
313,-38.209,-0.2986,12.425,-38.209,-0.2986,12.425,241.33,0.0
314,-30.8027,10.8414,-11.3201,-30.8414,12.2794,-10.0845,135.99,1.896
315,-30.8027,10.8414,-11.3201,-37.3059,11.7847,-11.5876,132.84,6.577
316,-44.8813,2.3472,1.9091,-45.3698,1.7308,1.8692,232.39,0.788
317,-44.8813,2.3472,1.9091,-46.9343,7.4011,4.3771,236.33,5.987
318,-46.9343,7.4011,4.3771,-46.6268,5.81,6.9074,211.31,3.005
319,22.3347,3.6698,17.2211,24.8997,4.602,21.2599,188.78,4.874
320,22.3347,3.6698,17.2211,36.4627,-0.3144,17.4489,183.75,14.681
321,26.0531,7.3815,7.5788,30.1875,8.278,9.2905,374.68,4.564
322,26.0531,7.3815,7.5788,23.6304,18.5731,-0.16,381.61,13.821
323,38.0551,-5.3373,11.9492,36.2714,-3.9195,11.5401,147.59,2.315
324,38.0551,-5.3373,11.9492,38.0551,-5.3373,11.9492,152.08,0.0
325,0.6785,7.0908,2.4332,0.2669,4.2451,-0.3442,196.08,3.998
326,0.6785,7.0908,2.4332,-6.4136,14.997,-6.6044,204.9,13.946
327,-6.4136,14.997,-6.6044,-6.3694,18.7476,-6.7972,186.01,3.756
328,-18.3955,1.0964,8.6687,-17.8919,1.0372,9.3389,157.03,0.84
329,-18.3955,1.0964,8.6687,-21.4348,12.7356,9.7988,156.1,12.082
330,-33.6498,-5.5051,-4.0053,-33.072,-3.6514,-4.6688,193.18,2.052
331,-33.6498,-5.5051,-4.0053,-24.3532,-8.2496,-7.854,210.12,10.429
332,-22.9675,0.0042,-13.6449,-25.1196,-0.1519,-9.1596,280.22,4.977
333,-22.9675,0.0042,-13.6449,-21.4722,-7.0014,-20.5451,273.35,9.946
334,-37.8981,-4.8151,-11.6419,-41.1201,-7.3021,-10.8007,162.37,4.156
335,-37.8981,-4.8151,-11.6419,-29.6009,-12.7452,-9.057,157.09,11.765
336,-6.3694,18.7476,-6.7972,-6.3275,22.3096,-6.9802,164.43,3.567
337,-6.3694,18.7476,-6.7972,-12.6971,23.1126,-1.6155,169.08,9.271
338,-6.3694,18.7476,-6.7972,-6.0976,20.3424,-6.8337,186.01,1.618
339,-11.2529,8.1649,-1.8162,-11.3172,7.9095,-1.9204,269.99,0.283
340,-11.2529,8.1649,-1.8162,-18.6491,15.5166,-12.9458,283.06,15.252
341,34.7169,-12.5919,-0.6547,35.7246,-11.3464,-5.2855,166.05,4.9
342,34.7169,-12.5919,-0.6547,41.0993,-17.5271,2.9104,169.79,8.82
343,-46.6268,5.81,6.9074,-46.4736,5.0173,8.168,194.2,1.497
344,-46.6268,5.81,6.9074,-36.0376,18.7177,9.853,184.23,16.953
345,39.4366,9.1538,9.8305,39.6751,7.2389,13.5613,287.22,4.2
346,39.4366,9.1538,9.8305,25.7995,3.093,-12.3941,278.83,26.77
347,-6.0976,20.3424,-6.8337,-5.9171,21.4013,-6.8579,173.49,1.074
348,-6.0976,20.3424,-6.8337,0.3546,18.5269,-10.3521,158.68,7.57
349,-14.1442,-8.5455,0.8815,-14.4966,-12.0924,1.964,170.22,3.725
350,-14.1442,-8.5455,0.8815,-15.2516,-0.9211,8.7253,165.74,10.995
351,-14.1442,-8.5455,0.8815,-10.8628,-9.8923,2.8094,187.38,4.037
352,-1.4203,-5.8619,-13.8811,-3.1683,-4.702,-10.4233,211.51,4.044
353,-1.4203,-5.8619,-13.8811,-3.3365,-0.4317,-21.0383,219.28,9.186
354,-10.8628,-9.8923,2.8094,-6.8872,-11.5242,5.1452,168.98,4.891
355,-10.8628,-9.8923,2.8094,-5.8102,-7.3526,-2.1039,167.09,7.491
356,-12.2724,23.9747,8.9836,-12.6965,24.8794,10.6717,225.55,1.962
357,-12.2724,23.9747,8.9836,-12.2724,23.9747,8.9836,222.1,0.0
358,12.6416,-4.3653,-11.2253,11.3061,-4.4381,-11.6044,331.63,1.39
359,12.6416,-4.3653,-11.2253,13.4857,-15.4933,-12.638,329.15,11.249
360,11.4494,22.8843,10.9831,13.5005,20.5046,13.9689,306.66,4.334
361,11.4494,22.8843,10.9831,11.4494,22.8843,10.9831,303.99,0.0
