id,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um,longitud_mm
145,39.1667,11.3209,5.6087,38.1902,13.2904,9.0627,280.68,4.094
146,39.1667,11.3209,5.6087,39.1667,11.3209,5.6087,285.56,0.0
147,39.1667,11.3209,5.6087,39.1712,14.2096,6.2558,315.73,2.96
148,39.1667,11.3209,5.6087,39.4366,9.1538,9.8305,315.73,4.753
149,35.3667,-9.4788,-14.4189,33.9326,-9.8929,-14.4201,208.97,1.493
150,35.3667,-9.4788,-14.4189,35.3667,-9.4788,-14.4189,207.87,0.0
151,35.3667,-9.4788,-14.4189,31.0727,-8.3094,-16.5119,232.39,4.918
152,35.3667,-9.4788,-14.4189,34.3256,-13.3447,-14.5501,232.39,4.006
153,40.9903,-1.3557,2.9291,39.4947,-2.4477,5.5261,283.1,3.19
154,40.9903,-1.3557,2.9291,27.4311,-15.0783,-10.7475,283.23,23.648
155,40.9903,-1.3557,2.9291,36.1082,1.0629,2.0693,315.73,5.516
156,-14.1859,16.8033,9.1885,-17.6696,13.6063,6.8831,221.43,5.26
157,-14.1859,16.8033,9.1885,-8.274,14.5402,17.191,221.66,10.203
158,31.0727,-8.3094,-16.5119,25.6419,-6.8305,-19.159,206.96,6.22
159,31.0727,-8.3094,-16.5119,34.2705,-13.1437,1.3968,209.84,18.823
160,31.0727,-8.3094,-16.5119,31.4237,-10.0524,-17.0034,232.39,1.845
161,34.2705,-13.1437,1.3968,34.7169,-12.5919,-0.6547,187.28,2.171
162,-30.8162,14.2253,14.539,-32.6431,13.8339,14.1144,288.99,1.916
163,-30.8162,14.2253,14.539,-30.8162,14.2253,14.539,283.39,0.0
164,-30.8162,14.2253,14.539,-31.3775,18.8524,6.6266,319.17,9.183
165,-35.584,-10.4369,-3.9855,-36.4832,-11.4736,-6.1474,202.16,2.561
166,-35.584,-10.4369,-3.9855,-45.8313,-9.229,-2.0225,202.74,10.503
167,36.1082,1.0629,2.0693,32.1029,3.0471,1.3639,273.83,4.525
168,36.1082,1.0629,2.0693,38.2519,-18.4633,-1.1633,291.28,19.908
169,36.1082,1.0629,2.0693,33.3182,1.8109,0.1466,315.73,3.47
170,15.4376,9.2524,-0.8272,13.0951,10.8053,-2.0911,375.25,3.082
171,15.4376,9.2524,-0.8272,8.3889,26.4353,6.5276,381.09,19.976
172,8.3889,26.4353,6.5276,11.4494,22.8843,10.9831,340.46,6.467
173,-30.7712,9.669,-12.3276,-27.9039,11.7123,-12.0865,137.72,3.529
174,-30.7712,9.669,-12.3276,-38.1467,-1.1076,-11.7722,130.78,13.071
175,-30.7712,9.669,-12.3276,-30.8027,10.8414,-11.3201,149.92,1.546
176,-21.4989,-2.0784,17.0711,-18.7872,0.4731,18.7481,347.38,4.084
177,-21.4989,-2.0784,17.0711,-10.9677,10.0944,17.5911,331.76,16.105
178,-21.4989,-2.0784,17.0711,-22.9989,-2.1681,19.6043,379.08,2.945
179,-10.9677,10.0944,17.5911,-13.661,11.5868,18.0153,284.44,3.108
180,20.6972,10.875,-9.6855,21.7171,8.8429,-10.123,382.99,2.315
181,20.6972,10.875,-9.6855,20.9362,13.9272,-17.74,373.16,8.617
182,20.6972,10.875,-9.6855,19.3568,9.1177,-8.4098,421.72,2.552
183,39.1712,14.2096,6.2558,39.1731,15.4491,6.5335,285.34,1.27
184,39.1712,14.2096,6.2558,39.1712,14.2096,6.2558,280.91,0.0
185,33.3182,1.8109,0.1466,28.0473,3.2239,-3.4858,274.93,6.555
