ix,iy,iz,x_cm,y_cm,z_cm,prioridad
6,51,20,0.030508474576271184,0.25932203389830505,0.10256410256410256,CRITICA
7,29,33,0.035593220338983045,0.14745762711864405,0.16923076923076924,CRITICA
7,30,34,0.035593220338983045,0.15254237288135591,0.17435897435897435,CRITICA
7,51,21,0.035593220338983045,0.25932203389830505,0.1076923076923077,CRITICA
9,16,28,0.04576271186440678,0.08135593220338982,0.14358974358974358,CRITICA
9,18,28,0.04576271186440678,0.09152542372881356,0.14358974358974358,CRITICA
10,16,29,0.05084745762711864,0.08135593220338982,0.14871794871794872,CRITICA
10,16,38,0.05084745762711864,0.08135593220338982,0.19487179487179487,CRITICA
10,16,39,0.05084745762711864,0.08135593220338982,0.2,CRITICA
10,17,28,0.05084745762711864,0.08644067796610169,0.14358974358974358,CRITICA
10,17,30,0.05084745762711864,0.08644067796610169,0.15384615384615385,CRITICA
10,17,35,0.05084745762711864,0.08644067796610169,0.1794871794871795,CRITICA
10,17,37,0.05084745762711864,0.08644067796610169,0.18974358974358974,CRITICA
10,18,29,0.05084745762711864,0.09152542372881356,0.14871794871794872,CRITICA
10,18,36,0.05084745762711864,0.09152542372881356,0.18461538461538463,CRITICA
10,18,38,0.05084745762711864,0.09152542372881356,0.19487179487179487,CRITICA
10,18,39,0.05084745762711864,0.09152542372881356,0.2,CRITICA
10,19,27,0.05084745762711864,0.09661016949152541,0.13846153846153847,CRITICA
10,19,37,0.05084745762711864,0.09661016949152541,0.18974358974358974,CRITICA
10,23,22,0.05084745762711864,0.11694915254237287,0.11282051282051282,CRITICA
11,16,28,0.0559322033898305,0.08135593220338982,0.14358974358974358,CRITICA
11,17,27,0.0559322033898305,0.08644067796610169,0.13846153846153847,CRITICA
11,17,29,0.0559322033898305,0.08644067796610169,0.14871794871794872,CRITICA
11,19,36,0.0559322033898305,0.09661016949152541,0.18461538461538463,CRITICA
11,20,27,0.0559322033898305,0.10169491525423728,0.13846153846153847,CRITICA
11,22,22,0.0559322033898305,0.111864406779661,0.11282051282051282,CRITICA
12,15,30,0.06101694915254237,0.07627118644067796,0.15384615384615385,CRITICA
12,16,29,0.06101694915254237,0.08135593220338982,0.14871794871794872,CRITICA
13,9,30,0.06610169491525424,0.04576271186440678,0.15384615384615385,CRITICA
13,16,30,0.06610169491525424,0.08135593220338982,0.15384615384615385,CRITICA
13,22,27,0.06610169491525424,0.111864406779661,0.13846153846153847,CRITICA
13,24,19,0.06610169491525424,0.12203389830508474,0.09743589743589744,CRITICA
13,24,21,0.06610169491525424,0.12203389830508474,0.1076923076923077,CRITICA
13,25,18,0.06610169491525424,0.1271186440677966,0.09230769230769231,CRITICA
13,25,20,0.06610169491525424,0.1271186440677966,0.10256410256410256,CRITICA
13,26,19,0.06610169491525424,0.13220338983050847,0.09743589743589744,CRITICA
14,8,30,0.07118644067796609,0.04067796610169491,0.15384615384615385,CRITICA
14,10,28,0.07118644067796609,0.05084745762711864,0.14358974358974358,CRITICA
14,10,30,0.07118644067796609,0.05084745762711864,0.15384615384615385,CRITICA
14,16,23,0.07118644067796609,0.08135593220338982,0.11794871794871795,CRITICA
15,8,29,0.07627118644067796,0.04067796610169491,0.14871794871794872,CRITICA
15,9,28,0.07627118644067796,0.04576271186440678,0.14358974358974358,CRITICA
15,9,30,0.07627118644067796,0.04576271186440678,0.15384615384615385,CRITICA
15,10,29,0.07627118644067796,0.05084745762711864,0.14871794871794872,CRITICA
15,11,28,0.07627118644067796,0.0559322033898305,0.14358974358974358,CRITICA
15,11,30,0.07627118644067796,0.0559322033898305,0.15384615384615385,CRITICA
15,12,29,0.07627118644067796,0.06101694915254237,0.14871794871794872,CRITICA
15,13,30,0.07627118644067796,0.06610169491525424,0.15384615384615385,CRITICA
15,14,22,0.07627118644067796,0.07118644067796609,0.11282051282051282,CRITICA
15,15,23,0.07627118644067796,0.07627118644067796,0.11794871794871795,CRITICA
16,7,29,0.08135593220338982,0.035593220338983045,0.14871794871794872,CRITICA
16,8,28,0.08135593220338982,0.04067796610169491,0.14358974358974358,CRITICA
16,8,30,0.08135593220338982,0.04067796610169491,0.15384615384615385,CRITICA
16,9,29,0.08135593220338982,0.04576271186440678,0.14871794871794872,CRITICA
16,10,28,0.08135593220338982,0.05084745762711864,0.14358974358974358,CRITICA
16,13,22,0.08135593220338982,0.06610169491525424,0.11282051282051282,CRITICA
16,13,29,0.08135593220338982,0.06610169491525424,0.14871794871794872,CRITICA
16,16,23,0.08135593220338982,0.08135593220338982,0.11794871794871795,CRITICA
16,42,13,0.08135593220338982,0.2135593220338983,0.06666666666666667,CRITICA
16,43,12,0.08135593220338982,0.21864406779661016,0.06153846153846154,CRITICA
16,44,11,0.08135593220338982,0.223728813559322,0.05641025641025641,CRITICA
16,44,13,0.08135593220338982,0.223728813559322,0.06666666666666667,CRITICA
16,45,12,0.08135593220338982,0.22881355932203387,0.06153846153846154,CRITICA
17,7,28,0.08644067796610169,0.035593220338983045,0.14358974358974358,CRITICA
17,8,27,0.08644067796610169,0.04067796610169491,0.13846153846153847,CRITICA
17,8,29,0.08644067796610169,0.04067796610169491,0.14871794871794872,CRITICA
17,9,28,0.08644067796610169,0.04576271186440678,0.14358974358974358,CRITICA
17,29,9,0.08644067796610169,0.14745762711864405,0.046153846153846156,CRITICA
17,43,13,0.08644067796610169,0.21864406779661016,0.06666666666666667,CRITICA
20,17,2,0.10169491525423728,0.08644067796610169,0.010256410256410256,CRITICA
20,18,0,0.10169491525423728,0.09152542372881356,0.0,CRITICA
20,18,1,0.10169491525423728,0.09152542372881356,0.005128205128205128,CRITICA
21,17,0,0.10677966101694915,0.08644067796610169,0.0,CRITICA
21,17,1,0.10677966101694915,0.08644067796610169,0.005128205128205128,CRITICA
21,17,3,0.10677966101694915,0.08644067796610169,0.015384615384615385,CRITICA
22,14,7,0.111864406779661,0.07118644067796609,0.035897435897435895,CRITICA
22,15,6,0.111864406779661,0.07627118644067796,0.03076923076923077,CRITICA
22,15,8,0.111864406779661,0.07627118644067796,0.041025641025641026,CRITICA
22,16,5,0.111864406779661,0.08135593220338982,0.02564102564102564,CRITICA
22,16,7,0.111864406779661,0.08135593220338982,0.035897435897435895,CRITICA
22,17,2,0.111864406779661,0.08644067796610169,0.010256410256410256,CRITICA
