id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
0,art,1,0.0,-25.5,3.0,26.4838,21.9161,5.2709,442.26
1,art,1,0.0,-25.5,3.0,-33.6087,-12.6269,12.7339,454.23
2,art,2,26.4838,21.9161,5.2709,7.1986,22.8475,11.5342,352.13
3,art,2,26.4838,21.9161,5.2709,22.3893,-23.9377,2.1801,336.82
4,art,2,-33.6087,-12.6269,12.7339,18.2215,-21.9998,-10.0769,370.56
5,art,2,-33.6087,-12.6269,12.7339,38.6958,2.9443,13.8151,361.85
6,art,3,7.1986,22.8475,11.5342,19.393,19.6459,12.6695,275.8
7,art,3,7.1986,22.8475,11.5342,3.9828,-25.8111,6.3503,296.08
8,art,3,22.3893,-23.9377,2.1801,-29.0906,1.9341,-18.133,247.77
9,art,3,22.3893,-23.9377,2.1801,7.023,26.4229,3.3495,268.89
10,art,3,18.2215,-21.9998,-10.0769,32.231,-14.5964,11.9858,287.5
11,art,3,18.2215,-21.9998,-10.0769,-13.9546,-23.1906,9.6199,307.67
12,art,3,38.6958,2.9443,13.8151,-5.7533,26.723,-1.8699,267.23
13,art,3,38.6958,2.9443,13.8151,9.0096,-26.0621,4.2176,295.12
14,art,4,19.393,19.6459,12.6695,-6.9383,8.2854,21.1809,214.19
15,art,4,19.393,19.6459,12.6695,-4.3084,3.2539,-22.25,200.73
16,art,4,3.9828,-25.8111,6.3503,7.5685,2.4331,22.1428,233.27
17,art,4,3.9828,-25.8111,6.3503,2.3609,1.1319,22.4546,253.5
18,art,4,-29.0906,1.9341,-18.133,4.8047,1.1763,-22.3723,189.12
19,art,4,-29.0906,1.9341,-18.133,8.2635,1.341,22.1561,180.7
20,art,4,7.023,26.4229,3.3495,6.6428,-3.9563,-22.0514,223.2
21,art,4,7.023,26.4229,3.3495,-1.3333,-2.5655,-22.39,222.8
22,art,4,32.231,-14.5964,11.9858,4.4275,-4.443,22.1018,225.24
23,art,4,32.231,-14.5964,11.9858,-2.5342,7.5644,-21.5682,207.86
24,art,4,-13.9546,-23.1906,9.6199,-8.3573,0.0563,-22.1769,262.49
25,art,4,-13.9546,-23.1906,9.6199,4.1093,5.2976,-21.9834,242.81
26,art,4,-5.7533,26.723,-1.8699,6.9004,-3.6034,22.077,205.52
27,art,4,-5.7533,26.723,-1.8699,-4.7393,9.7698,20.8645,185.37
