id,x1,y1,z1,x2,y2,z2,radio_um,longitud_mm,reynolds
0,0.0,0.0,0.0,10.0,0.0,0.0,500.0,10.0,3596.43
1,6.92797576724562,0.0,0.0,50.0,50.0,50.0,439.74,82.796,295.5
2,6.92797576724562,0.0,0.0,50.0,-50.0,-50.0,341.89,82.796,138.87
3,36.35603315209943,-34.16145155592091,-34.16145155592091,50.0,-50.0,-50.0,278.49,26.227,236.94
4,36.35603315209943,-34.16145155592091,-34.16145155592091,50.0,-50.0,-50.0,263.84,26.227,201.47
5,29.39851716489968,26.08484485919076,26.08484485919076,50.0,37.73854374756292,50.0,316.65,33.648,271.48
6,29.39851716489968,26.08484485919076,26.08484485919076,50.0,50.0,50.0,376.3,39.602,387.14
7,43.81307142895361,-42.81792685478025,-42.81792685478025,50.0,-50.0,-50.0,208.04,11.893,217.81
8,43.81307142895361,-42.81792685478025,-42.81792685478025,50.0,-50.0,-50.0,232.67,11.893,304.7
9,42.64564023414023,41.46271867080361,41.46271867080361,50.0,50.0,50.0,257.01,14.137,345.49
10,42.64564023414023,41.46271867080361,41.46271867080361,50.0,50.0,50.0,331.14,14.137,738.98
11,45.874710486682154,45.2111729285981,45.2111729285981,50.0,42.33983858746499,50.0,248.35,6.942,634.81
12,45.874710486682154,45.2111729285981,45.2111729285981,50.0,50.0,50.0,275.86,7.93,761.67
13,43.22593408720004,-42.13635064352445,-42.13635064352445,50.0,-50.0,-46.8013711617733,230.14,11.379,308.21
14,43.22593408720004,-42.13635064352445,-42.13635064352445,50.0,-50.0,-50.0,183.47,13.022,136.46
15,48.20611942185566,-47.917580366724245,-47.917580366724245,50.0,-22.190598333043145,-50.0,183.64,25.873,68.87
16,48.20611942185566,-47.917580366724245,-47.917580366724245,50.0,-50.0,-50.0,141.12,3.448,234.5
17,38.01180998540723,30.957150497139953,36.08355396787195,50.0,-7.701920506197297,50.0,229.03,42.801,80.76
18,38.01180998540723,30.957150497139953,36.08355396787195,50.0,50.0,50.0,270.24,26.458,214.61
19,48.42033767631785,48.16625483498766,48.16625483498766,50.0,50.0,50.0,205.33,3.037,820.26
20,48.42033767631785,48.16625483498766,48.16625483498766,50.0,50.0,50.0,231.06,3.037,1168.85
21,42.83356606698858,38.61635303641275,41.68087167869665,50.0,50.0,4.2958127770668515,195.65,39.731,54.23
22,42.83356606698858,38.61635303641275,41.68087167869665,46.707213051965425,50.0,50.0,230.5,14.622,240.97
23,46.57459229532269,-46.023628137179074,-46.023628137179074,16.458715584418062,-50.0,-50.0,177.42,30.636,52.45
24,46.57459229532269,-46.023628137179074,-46.023628137179074,50.0,-50.0,-50.0,191.39,6.585,306.33
25,47.91252058929928,-47.576757248022155,-47.576757248022155,50.0,-46.29294055114056,-50.0,138.49,3.446,221.73
26,47.91252058929928,-47.576757248022155,-47.576757248022155,50.0,-50.0,-50.0,152.12,4.013,252.37
27,45.25270075061985,45.72556440818475,46.876257819378864,50.0,50.0,50.0,194.87,7.111,299.43
28,45.25270075061985,45.72556440818475,46.876257819378864,-30.461888364146482,50.0,50.0,169.22,75.899,18.37
29,45.67984075595944,44.984959122544254,44.984959122544254,50.0,50.0,50.0,179.93,8.305,201.83
30,45.67984075595944,44.984959122544254,44.984959122544254,50.0,50.0,50.0,223.41,8.305,386.32
31,49.465819058404286,-49.37989802997291,-49.37989802997291,50.0,-50.0,-50.0,109.27,1.027,365.53
32,49.465819058404286,-49.37989802997291,-49.37989802997291,50.0,-50.0,-50.0,114.63,1.027,421.99
33,49.814832321067776,-49.78504878487761,-49.78504878487761,50.0,-50.0,-50.0,93.33,0.356,657.21
