id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
0,arterial,1,0.0,-25.5,3.0,-9.338,10.7116,20.2127,433.71
1,arterial,1,0.0,-25.5,3.0,-31.1905,6.012,10.1367,427.21
2,arterial,1,0.0,-25.5,3.0,20.5778,-13.2467,-17.2309,465.87
3,arterial,1,0.0,-25.5,3.0,-29.7587,-4.6614,5.327,439.77
4,arterial,1,0.0,-25.5,3.0,-25.3891,-14.7776,-6.4116,456.39
5,arterial,1,0.0,-25.5,3.0,-3.3318,5.9048,-19.778,452.03
6,arterial,1,0.0,-25.5,3.0,5.8449,-3.5337,-22.1477,465.41
7,arterial,1,0.0,-25.5,3.0,-18.7531,-8.3746,19.6185,427.9
8,arterial,2,-9.338,10.7116,20.2127,-11.6076,19.6588,14.4925,340.59
9,arterial,2,-31.1905,6.012,10.1367,-11.7011,23.4322,9.8319,308.38
10,arterial,2,-31.1905,6.012,10.1367,-14.9771,14.3979,17.7749,326.23
11,arterial,2,20.5778,-13.2467,-17.2309,16.3833,1.517,-21.1942,369.94
12,arterial,2,20.5778,-13.2467,-17.2309,15.6502,-6.8296,-2.6796,401.56
13,arterial,2,-29.7587,-4.6614,5.327,-40.5699,11.367,8.5494,348.99
14,arterial,2,-25.3891,-14.7776,-6.4116,-13.8869,-5.1177,-13.5292,379.94
15,arterial,2,-25.3891,-14.7776,-6.4116,-20.1376,-7.4408,-16.1794,359.13
16,arterial,2,-3.3318,5.9048,-19.778,-13.6039,16.5262,6.5748,356.76
17,arterial,2,5.8449,-3.5337,-22.1477,-9.5006,15.1449,-3.507,398.71
18,arterial,2,5.8449,-3.5337,-22.1477,-11.0458,9.7707,-10.5683,371.96
19,arterial,2,-18.7531,-8.3746,19.6185,-12.6749,16.7673,16.6679,317.02
20,arterial,3,-11.6076,19.6588,14.4925,-19.5709,17.6538,14.515,281.62
21,arterial,3,-11.6076,19.6588,14.4925,-13.5894,17.8781,15.6886,281.19
22,arterial,3,-11.7011,23.4322,9.8319,-19.2498,24.8034,1.5685,243.54
23,arterial,3,-11.7011,23.4322,9.8319,-6.1501,22.5742,12.0229,225.42
24,arterial,3,-14.9771,14.3979,17.7749,-17.4192,20.8531,11.8987,276.0
25,arterial,3,-14.9771,14.3979,17.7749,-27.5958,17.079,12.0973,257.06
26,arterial,3,16.3833,1.517,-21.1942,14.8008,7.9092,-20.434,274.31
27,arterial,3,15.6502,-6.8296,-2.6796,5.6654,-0.6558,8.954,333.62
28,arterial,3,15.6502,-6.8296,-2.6796,12.743,1.4873,7.1791,332.51
29,arterial,3,-40.5699,11.367,8.5494,-38.1851,17.1402,0.9854,272.6
30,arterial,3,-40.5699,11.367,8.5494,-40.2971,15.0647,-3.6254,296.36
31,arterial,3,-13.8869,-5.1177,-13.5292,-0.3059,1.2237,-22.4764,323.56
32,arterial,3,-20.1376,-7.4408,-16.1794,-9.4443,7.9795,-21.0619,270.68
33,arterial,3,-20.1376,-7.4408,-16.1794,-10.6459,0.9461,-21.9593,277.1
