id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
0,art,1,0.0,-25.5,3.0,39.3024,-3.8966,12.422,447.74
1,art,1,0.0,-25.5,3.0,33.0151,-19.166,-1.9238,449.11
2,art,2,39.3024,-3.8966,12.422,8.8745,-1.6731,-21.582,334.16
3,art,2,39.3024,-3.8966,12.422,23.8287,-10.9585,-16.8312,370.9
4,art,2,33.0151,-19.166,-1.9238,21.5407,-0.3234,-19.6992,349.75
5,art,2,33.0151,-19.166,-1.9238,41.0137,-12.5122,-5.2663,363.9
6,art,3,8.8745,-1.6731,-21.582,9.2636,13.2452,-18.5591,241.75
7,art,3,8.8745,-1.6731,-21.582,10.7861,25.0881,4.7823,247.5
8,art,3,23.8287,-10.9585,-16.8312,30.1615,10.6088,-14.7609,312.35
9,art,3,23.8287,-10.9585,-16.8312,18.7254,21.3619,9.7292,308.81
10,art,3,23.8287,-10.9585,-16.8312,28.3876,-9.5085,-13.2281,318.32
11,art,3,23.8287,-10.9585,-16.8312,25.7973,-12.9044,-13.6826,301.91
12,art,3,21.5407,-0.3234,-19.6992,11.0446,15.2751,-17.2268,264.23
13,art,3,21.5407,-0.3234,-19.6992,1.9954,25.9072,-4.1325,275.62
14,art,3,21.5407,-0.3234,-19.6992,20.1488,0.2807,-13.1363,258.91
15,art,3,21.5407,-0.3234,-19.6992,17.8785,1.3773,-17.2642,279.68
16,art,3,41.0137,-12.5122,-5.2663,42.9552,12.156,-0.3928,287.94
17,art,3,41.0137,-12.5122,-5.2663,14.1893,25.24,0.0024,302.44
18,art,4,9.2636,13.2452,-18.5591,10.3958,7.3031,-20.6066,180.95
19,art,4,9.2636,13.2452,-18.5591,4.7739,-11.8096,5.836,195.62
20,art,4,10.7861,25.0881,4.7823,6.7963,24.6848,7.1628,201.72
21,art,4,10.7861,25.0881,4.7823,9.2003,-5.8918,-6.0134,196.61
22,art,4,30.1615,10.6088,-14.7609,25.674,9.6124,-16.8418,258.71
23,art,4,30.1615,10.6088,-14.7609,8.8867,-2.9776,21.4832,238.83
24,art,4,18.7254,21.3619,9.7292,14.6783,24.553,4.565,242.88
25,art,4,18.7254,21.3619,9.7292,12.4524,-2.597,-21.149,243.73
