id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um,longitud_mm,presion_entrada,presion_salida,es_terminal
691,art,8,29.4538,-12.9875,0.3761,29.3175,-10.734,-0.4246,88.32,2.3954,47.27,45.35,0
692,art,6,1.9622,17.2892,13.6731,0.7989,15.8934,11.044,173.92,3.196,79.1,77.8,1
693,art,6,1.9622,17.2892,13.6731,0.5211,17.9514,12.0953,189.25,2.2372,79.1,78.26,1
694,art,6,1.9622,17.2892,13.6731,4.7833,17.5535,12.4784,174.7,3.075,79.1,77.85,1
695,art,6,1.9622,17.2892,13.6731,2.833,18.856,12.4814,188.71,2.1525,79.1,78.29,1
696,art,8,-45.392,-5.2433,-3.1339,-43.5238,-2.6507,-3.4648,101.76,3.2127,60.29,58.05,1
697,art,8,-45.392,-5.2433,-3.1339,-44.8475,-3.2444,-4.0088,94.21,2.2489,60.29,58.6,1
698,art,6,-30.3353,-12.0013,2.8853,-33.1754,-10.5601,3.0561,108.42,3.1895,72.54,70.46,1
699,art,6,-30.3353,-12.0013,2.8853,-32.4549,-12.465,3.4116,100.86,2.2326,72.54,70.97,1
700,art,9,-4.3583,20.022,3.1736,-4.5359,17.8891,5.4168,81.82,3.1004,46.27,43.59,1
701,art,9,-4.3583,20.022,3.1736,-5.2489,18.3172,4.179,76.63,2.1703,46.27,44.26,1
702,art,9,-5.5816,18.5548,0.3052,-9.4352,19.8176,-0.3738,91.22,4.1117,47.31,44.12,1
703,art,9,-5.5816,18.5548,0.3052,-7.8364,19.8381,1.5514,88.49,2.8782,47.31,45.01,1
704,art,11,27.1144,6.6276,2.3771,30.1816,6.4613,1.5759,55.23,3.1745,53.77,49.7,1
705,art,11,27.1144,6.6276,2.3771,28.5985,5.1821,1.5734,57.01,2.2221,53.77,51.01,1
706,art,11,28.3514,8.5169,2.9823,30.2095,10.3873,1.6213,56.06,2.9671,55.17,51.42,1
707,art,11,28.3514,8.5169,2.9823,28.6479,10.322,1.9987,59.91,2.077,55.17,52.71,1
708,art,9,19.1577,-2.681,-0.8169,21.9118,-0.2275,-0.6375,69.9,3.6929,41.27,37.53,0
709,art,9,19.1577,-2.681,-0.8169,21.6743,-2.6393,-1.4061,75.01,2.585,41.27,43.0,1
710,art,9,16.5169,-3.9019,0.1453,18.2398,-4.2024,2.3376,63.29,2.8045,42.24,43.0,1
711,art,9,16.5169,-3.9019,0.1453,17.4882,-3.0295,1.6114,68.16,1.9631,42.24,43.0,1
712,art,4,-31.5111,3.7582,-14.7964,-28.4752,5.365,-14.8895,215.76,3.4361,74.98,73.85,1
713,art,4,-31.5111,3.7582,-14.7964,-29.4822,3.6342,-16.0823,219.97,2.4053,74.98,74.2,1
714,art,6,17.9555,-5.0341,17.1122,14.9514,-5.4422,18.1811,157.71,3.2147,86.25,84.8,1
715,art,6,17.9555,-5.0341,17.1122,15.9446,-6.0382,17.0062,166.48,2.2503,86.25,85.29,1
716,art,6,18.8479,-6.8871,14.9436,19.7191,-10.3992,14.7086,162.47,3.6263,86.72,85.14,0
717,art,6,18.8479,-6.8871,14.9436,19.3609,-8.5166,13.0662,168.47,2.5384,86.72,85.65,1
718,art,8,-20.7693,1.7792,12.4407,-19.1306,1.0082,15.5241,91.08,3.5759,51.03,48.25,0
719,art,8,-20.7693,1.7792,12.4407,-18.6545,0.9293,13.4757,90.99,2.5031,51.03,49.09,1
720,art,9,-26.151,-5.9605,16.8736,-26.0088,-3.1344,17.5683,70.26,2.9138,44.9,43.0,1
721,art,9,-26.151,-5.9605,16.8736,-26.6905,-4.3214,17.9609,64.37,2.0396,44.9,43.0,1
722,art,7,9.4181,3.6661,18.722,6.9308,6.1693,16.8931,100.7,3.9746,46.1,43.31,0
723,art,7,9.4181,3.6661,18.722,6.8605,4.2391,17.7887,96.86,2.7822,46.1,44.07,1
724,art,4,4.7951,5.5828,-19.2606,5.5007,7.1234,-16.7111,251.23,3.0612,81.24,80.38,1
725,art,4,4.7951,5.5828,-19.2606,4.0014,7.3603,-18.3649,265.29,2.1429,81.24,80.67,1
726,art,6,-17.6977,8.7392,15.9524,-20.6527,10.0607,15.8236,151.35,3.2395,63.56,62.05,1
727,art,6,-17.6977,8.7392,15.9524,-19.274,9.9973,14.9157,164.28,2.2677,63.56,62.59,1
728,art,7,20.9618,-1.0317,-10.3636,20.5113,0.4109,-8.0786,105.83,2.7397,80.56,78.73,1
729,art,7,20.9618,-1.0317,-10.3636,20.6202,0.6006,-9.4167,111.59,1.9178,80.56,79.35,1
730,art,8,-14.9911,-16.6081,13.9487,-17.6311,-14.9458,12.3164,67.24,3.521,50.76,47.05,1
731,art,8,-14.9911,-16.6081,13.9487,-16.0052,-15.4273,12.0376,70.05,2.4647,50.76,48.27,1
732,art,9,-11.0893,-7.877,6.3725,-12.2448,-8.8189,10.2234,65.51,4.1294,48.49,44.02,0
733,art,9,-11.0893,-7.877,6.3725,-13.4014,-7.0953,7.9212,70.52,2.8906,48.49,45.58,1
734,art,9,-11.2318,-5.6505,4.7157,-13.9759,-7.5194,3.7134,65.1,3.4681,49.52,45.75,1
735,art,9,-11.2318,-5.6505,4.7157,-12.4085,-7.1883,3.2514,64.14,2.4277,49.52,46.84,0
736,art,7,-21.3026,-0.6388,1.179,-20.4806,0.6454,-1.3507,117.39,2.9537,54.09,52.31,1
737,art,7,-21.3026,-0.6388,1.179,-19.7745,0.3752,0.2243,119.6,2.0676,54.09,52.86,1
738,art,6,4.1451,21.7551,-9.6747,4.0863,21.914,-6.7529,135.87,2.9267,73.69,72.17,1
739,art,6,4.1451,21.7551,-9.6747,4.2348,20.9134,-7.809,147.05,2.0487,73.69,72.7,1
740,art,6,2.988,21.3227,-12.1337,5.5102,19.9121,-12.484,124.37,2.911,74.16,72.51,1
741,art,6,2.988,21.3227,-12.1337,4.9209,21.028,-11.5599,131.87,2.0377,74.16,73.07,1
742,art,8,14.0769,-11.5948,-13.2397,15.5038,-10.5926,-10.9906,66.82,2.8459,49.93,46.92,1
743,art,8,14.0769,-11.5948,-13.2397,15.9129,-11.3752,-12.4985,61.69,1.9921,49.93,47.65,1
744,art,8,-11.7846,4.7451,10.9454,-13.814,7.5411,10.4274,93.68,3.4935,48.06,45.41,1
745,art,8,-11.7846,4.7451,10.9454,-13.6922,6.017,11.796,99.3,2.4454,48.06,46.31,1
746,art,6,-36.486,-14.8971,2.8727,-34.95,-16.4231,1.2451,120.85,2.7087,72.4,70.81,1
747,art,6,-36.486,-14.8971,2.8727,-34.8284,-15.7575,3.1997,121.17,1.8961,72.4,71.29,1
748,art,8,18.9064,-14.0359,-7.5296,21.4466,-14.5484,-6.338,75.5,2.8522,44.37,43.0,1
749,art,8,18.9064,-14.0359,-7.5296,19.5249,-13.7776,-5.6489,76.54,1.9966,44.37,43.0,1
750,art,8,17.6754,-15.9559,-5.5849,18.2184,-18.2415,-8.1121,64.22,3.4505,45.15,43.0,1
751,art,8,17.6754,-15.9559,-5.5849,17.5754,-16.4468,-7.9477,59.88,2.4154,45.15,43.0,1
752,art,7,-34.4443,10.7057,0.2521,-36.4917,8.6658,0.8542,107.38,2.9523,64.12,62.17,1
753,art,7,-34.4443,10.7057,0.2521,-35.8058,9.5913,-0.8319,114.4,2.0666,64.12,62.84,1
754,art,5,-14.5006,-12.7133,-13.3874,-14.7712,-14.2954,-9.8213,152.09,3.9107,68.65,66.83,0
755,art,5,-14.5006,-12.7133,-13.3874,-16.2387,-13.4308,-11.398,162.8,2.7375,68.65,67.46,1
756,art,5,-16.6807,-13.8422,-13.8019,-19.3575,-12.6897,-12.9192,196.2,3.0451,69.17,68.07,1
757,art,5,-16.6807,-13.8422,-13.8019,-18.4816,-14.1391,-12.7009,190.71,2.1316,69.17,68.38,1
758,art,8,28.9094,-15.6907,7.0893,25.4521,-14.9339,8.2526,83.57,3.7254,47.53,44.37,1
759,art,8,28.9094,-15.6907,7.0893,26.5139,-16.4795,6.426,90.14,2.6078,47.53,45.48,0
760,art,5,-31.5329,6.5415,14.6978,-29.6217,4.9305,13.149,210.15,2.9405,69.1,68.11,1
761,art,5,-31.5329,6.5415,14.6978,-31.2863,5.6697,12.8495,202.51,2.0584,69.1,68.38,1
762,art,5,-6.6617,-25.023,5.4704,-8.1615,-22.2928,4.6511,180.57,3.221,63.26,62.0,1
763,art,5,-6.6617,-25.023,5.4704,-7.1736,-22.8376,5.6846,173.47,2.2547,63.26,62.34,1
764,art,5,36.0121,7.4799,-4.5294,33.4125,5.9984,-5.6114,184.46,3.1818,86.74,85.52,1
765,art,5,36.0121,7.4799,-4.5294,35.3807,5.683,-5.6839,170.08,2.2272,86.74,85.81,1
766,art,7,-39.5009,-1.3539,9.5315,-38.5821,1.4177,11.2952,117.91,3.4112,61.39,59.35,1
767,art,7,-39.5009,-1.3539,9.5315,-37.5183,-0.1763,10.1515,118.1,2.3878,61.39,59.96,1
768,art,7,-37.7046,-1.675,7.7585,-38.2685,-1.2287,4.9122,127.97,2.9357,62.03,60.4,1
769,art,7,-37.7046,-1.675,7.7585,-39.0527,-1.2962,6.2544,128.53,2.055,62.03,60.9,1
770,art,9,-9.1101,14.2699,7.7907,-10.169,16.602,6.4743,99.65,2.8798,57.14,55.09,1
771,art,9,-9.1101,14.2699,7.7907,-8.6655,16.1636,7.2615,91.85,2.0159,57.14,55.58,1
772,art,9,-8.1104,16.3296,8.8786,-9.2732,17.298,11.415,78.3,2.9535,57.75,55.08,1
773,art,9,-8.1104,16.3296,8.8786,-9.2826,15.6066,10.4205,80.43,2.0675,57.75,55.93,1
774,art,8,5.9477,-8.5748,3.2167,7.4852,-9.243,6.648,97.23,3.819,66.81,64.03,1
775,art,8,5.9477,-8.5748,3.2167,8.2704,-8.0586,4.4353,94.22,2.6733,66.81,64.8,1
776,art,8,7.4775,-6.8822,1.8124,9.1214,-7.9155,-0.2683,102.25,2.846,67.6,65.63,1
777,art,8,7.4775,-6.8822,1.8124,7.1111,-7.3403,-0.0914,111.22,1.9922,67.6,66.33,1
778,art,8,12.2764,7.1772,-18.9973,14.0086,6.1745,-16.3619,86.32,3.3092,58.67,55.96,1
779,art,8,12.2764,7.1772,-18.9973,14.4841,7.1953,-18.2962,88.12,2.3165,58.67,56.81,1
780,art,7,31.961,-4.4779,-2.2922,33.9068,-2.3337,-1.3993,100.88,3.0301,79.26,77.13,1
781,art,7,31.961,-4.4779,-2.2922,34.0126,-3.961,-2.1419,108.31,2.121,79.26,77.87,1
782,art,10,-12.2448,-8.8189,10.2234,-12.2761,-9.889,12.7463,48.05,2.7406,44.02,43.0,1
783,art,10,-12.2448,-8.8189,10.2234,-12.528,-8.5685,12.1042,50.39,1.9184,44.02,43.0,1
