id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
484,art,8,17.7115,8.7327,-1.9972,16.6282,10.4653,-0.9555,109.14
485,art,8,17.7115,8.7327,-1.9972,19.8496,11.124,0.2563,123.13
486,art,8,17.6568,3.4509,11.6694,18.1577,4.9762,11.6316,69.6
487,art,8,17.6568,3.4509,11.6694,17.1651,2.5364,10.7592,65.32
488,art,8,21.3885,8.528,15.9368,22.6555,6.929,16.295,84.15
489,art,8,21.3885,8.528,15.9368,23.0798,8.5314,13.6661,87.22
490,art,8,7.3369,-7.8548,8.2936,4.5501,-9.1771,6.9602,102.4
491,art,8,7.3369,-7.8548,8.2936,4.8457,-8.2654,10.1509,97.49
492,art,8,7.4787,-12.1606,2.6482,4.6828,-12.401,2.7914,98.89
493,art,8,7.4787,-12.1606,2.6482,7.5084,-10.418,0.972,103.16
494,art,8,-20.3612,1.67,14.9776,-22.5145,1.8011,16.2616,107.68
495,art,8,-20.3612,1.67,14.9776,-18.4682,-0.0189,16.1727,98.02
496,art,8,-17.5792,8.0823,19.6431,-17.1231,10.7232,17.4149,105.99
497,art,8,-17.5792,8.0823,19.6431,-17.4937,8.0488,17.3263,98.1
498,art,8,-18.6507,7.7791,12.4373,-19.5908,8.0525,10.962,89.05
499,art,8,-18.6507,7.7791,12.4373,-16.4344,6.5412,12.4677,97.27
500,art,8,-17.6581,15.0573,9.9336,-19.4041,17.3466,9.3784,114.82
501,art,8,-17.6581,15.0573,9.9336,-19.7201,13.7944,12.2524,109.31
502,art,8,0.9076,-2.7378,22.1289,3.2406,-2.9787,22.062,118.54
503,art,8,0.9076,-2.7378,22.1289,0.6884,-2.526,22.148,107.82
504,art,8,-5.8419,-5.5982,21.5928,-4.012,-7.7994,21.2013,97.26
505,art,8,-5.8419,-5.5982,21.5928,-4.7562,-4.3384,21.8476,94.26
506,art,8,-10.0436,-10.7904,19.7011,-8.7257,-8.2138,19.4027,92.16
507,art,8,-10.0436,-10.7904,19.7011,-10.0423,-13.0694,18.8576,101.4
508,art,8,-2.5344,-3.8436,18.1984,-4.5225,-5.8487,19.9467,107.36
509,art,8,-2.5344,-3.8436,18.1984,-3.3223,-2.3121,15.3953,115.1
510,ven,1,0.0,-25.5,-3.0,47.4415,4.7591,-3.7835,560.15
511,ven,1,0.0,-25.5,-3.0,45.252,3.0581,-8.0921,511.0
512,ven,2,47.4415,4.7591,-3.7835,-5.1926,-0.0206,22.1244,474.31
513,ven,2,47.4415,4.7591,-3.7835,1.2715,-1.3179,-22.2154,458.32
514,ven,2,45.252,3.0581,-8.0921,-42.661,3.2985,10.5585,358.93
515,ven,2,45.252,3.0581,-8.0921,-12.0736,-2.5313,-21.4591,394.29
516,ven,3,-5.1926,-0.0206,22.1244,-2.3331,-25.8278,5.54,365.05
517,ven,3,-5.1926,-0.0206,22.1244,-2.1176,-25.8142,5.6014,399.7
518,ven,3,1.2715,-1.3179,-22.2154,3.7295,0.9642,22.1708,359.36
519,ven,3,1.2715,-1.3179,-22.2154,6.3189,2.0967,-21.9945,351.37
520,ven,3,-42.661,3.2985,10.5585,-24.6641,-23.0391,0.8751,270.66
521,ven,3,-42.661,3.2985,10.5585,-26.4893,-21.3003,-5.9173,259.5
522,ven,3,-12.0736,-2.5313,-21.4591,-0.1123,-17.5325,16.7808,345.27
523,ven,3,-12.0736,-2.5313,-21.4591,2.8822,-24.7251,-8.2953,307.27
524,ven,4,-2.3331,-25.8278,5.54,1.9136,-25.6488,6.1202,257.03
525,ven,4,-2.3331,-25.8278,5.54,-0.3219,-26.302,-3.8248,281.73
526,ven,4,-2.1176,-25.8142,5.6014,-0.7046,-26.5868,-2.0213,311.04
527,ven,4,-2.1176,-25.8142,5.6014,5.1296,-26.4512,-1.936,349.54
528,ven,4,3.7295,0.9642,22.1708,21.6675,0.9133,-19.937,279.81
529,ven,4,3.7295,0.9642,22.1708,3.4709,1.6163,-22.1531,297.23
530,ven,4,6.3189,2.0967,-21.9945,-1.865,-1.1198,22.2143,259.09
531,ven,4,6.3189,2.0967,-21.9945,7.3455,11.4448,19.8231,287.23
532,ven,4,-24.6641,-23.0391,0.8751,-28.7898,-20.4713,5.7261,227.63
533,ven,4,-24.6641,-23.0391,0.8751,-15.1761,-25.2345,-2.2951,211.27
534,ven,4,-26.4893,-21.3003,-5.9173,-23.0359,-22.8021,4.9351,208.51
535,ven,4,-26.4893,-21.3003,-5.9173,-13.2979,-25.6869,-0.5661,189.74
